cust_id,fname,lname,city,dob,gender,marital_status
89787,vikram,singh,delhi,01-Jan-80,m,married
139078,ranjit,singh,noida,19-Feb-82,m,single
67566,anu,sharma,delhi,06-Mar-84,f,married
67989,amit,shah,noida,17-Jun-87,m,divorced
56887,vinee,saluja,faridabad,06-Jul-85,f,married
56578,ana,vargese,noida,07-Aug-86,f,married
57579,anna,hazare,gurgaon,19-Aug-47,m,single
67687,arvind ,kejriwal,ghaziabad,11-Jul-70,m,single
67676,vinee,malhotra,noida,,f,single
123456,vinee,thakur,,18-Nov-83,f,divorced
189078,amit,singh,ghaziabad,19-Oct-80,ma,single
199009,mohit,kapur,ghaziabad,24-Nov-80,m,married
1666666,gaurav,sab,delhi,19-Nov-83,m,married
189098,aarti,malhotra,noida,13-Nov-84,f,marrried
122233,john,mathews,delhi,15-Aug-88,male,single
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
